batch_size	imratio	epoch	lr	train_loss	train_auc	test_loss	test_auc
100	0.5	0	0.316227766016838	0.7967879772186279	0.7175328135490417	0.8274573683738708	0.7189053297042847
100	0.5	1	0.316227766016838	0.6574335098266602	0.7684754729270935	0.6225237846374512	0.784763753414154
100	0.5	2	0.316227766016838	0.5368472933769226	0.8317426443099976	0.6363722085952759	0.81131511926651
100	0.5	3	0.316227766016838	0.5448323488235474	0.8205251693725586	0.5061306357383728	0.8413010835647583
100	0.5	4	0.316227766016838	0.5251628160476685	0.8608736991882324	0.5053476691246033	0.8510882258415222
100	0.5	5	0.316227766016838	0.5204495191574097	0.8770315051078796	0.5052914619445801	0.8567174077033997
100	0.5	6	0.316227766016838	0.3932719826698303	0.8859982490539551	0.5161866545677185	0.8514906167984009
100	0.5	7	0.316227766016838	0.42346447706222534	0.8976783752441406	0.4299030900001526	0.8767484426498413
100	0.5	8	0.316227766016838	0.3994746506214142	0.9044593572616577	0.534644603729248	0.8708450198173523
100	0.5	9	0.316227766016838	0.3383479416370392	0.913651704788208	0.4332611858844757	0.8930980563163757
100	0.5	10	0.316227766016838	0.38336095213890076	0.8986195921897888	0.46522051095962524	0.8776010870933533
